"Contract #","Bid Solicitation #","Description","Vendor","Type Code","Dollars Spent to Date","Organization","Status","Begin Date","End Date"
"23-PROS1-81269","","T3141 - Lottery Performance Audit","CliftonLarsonAllen LLP","RFP/PSBE/PDVOB","$129,495.75","Division of Purchase and Property ","3PS - Sent","07/03/2024","07/02/2027"
"23-PROS1-80093","","T3008 - Land Debris Removal for Disasters","CrowderGulf LLC","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2027"
"23-PROS1-80092","","T3008 - Land Debris Removal for Disasters","AshBritt Inc.","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2027"
"23-PROS1-79746","","T2482 - Management/Financial Consulting:  Contracted Management and Financial Auditing Firm: BPU","Daymark Energy Advisors, Inc.","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2028"
"23-PROS1-79745","","T2482 - Management/Financial Consulting:  Contracted Management and Financial Auditing Firm: BPU","Overland Consulting","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2028"
"23-PROS1-79744","","T2482 - Management/Financial Consulting:  Contracted Management and Financial Auditing Firm: BPU","The Liberty Consulting Group","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2028"
"23-PROS1-79743","","T2482 - Management/Financial Consulting:  Contracted Management and Financial Auditing Firm: BPU","Silverpoint Consulting LLC","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2028"
"23-PROS1-78002","","T1991 - Revenue Enhancements from Federal and Other Programs","Solix Inc","RFP/PSBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2027"
"23-PROS1-78001","","T1991 - Revenue Enhancements from Federal and Other Programs","Sellers Dorsey","RFP/PSBE","$7,000,000.02","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2027"
"23-PROS1-78000","","T1991 - Revenue Enhancements from Federal and Other Programs","Public Consulting Group LLC","RFP/PSBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2027"
"23-PROS1-77999","","T1991 - Revenue Enhancements from Federal and Other Programs","CGI Technologies and Solutions","RFP/PSBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2027"
"23-PROS1-64386","","T2846 - State Health Benefits Program and School Employees' Health Benefits Program Plans","Horizon Healthcare Services Inc.","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2028"
"23-PROS1-64385","","T2846 - State Health Benefits Program and School Employees' Health Benefits Program Plans","Aetna","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2028"
"23-PROS1-50717","","T2458 - Auditing Services: Financial Auditing Firms for Using Agencies and NJDEP","Jefferson Wells","RFP/PSBE/COOP","$74,610.00","Division of Purchase and Property ","3PS - Sent","09/01/2023","08/31/2026"
"23-PROS1-50129","","T2458 - Auditing Services: Financial Auditing Firms for Using Agencies and NJDEP","PKF OConnor Davies LLP","RFP/PSBE/COOP","$816,536.35","Division of Purchase and Property ","3PS - Sent","09/01/2023","08/31/2026"
"23-PROS1-50128","","T2458 - Auditing Services: Financial Auditing Firms for Using Agencies and NJDEP","Mercadien P.C. Certified Public Accountants","RFP/PSBE/COOP","$3,658,383.62","Division of Purchase and Property ","3PS - Sent","09/01/2023","08/31/2026"
"23-PROS1-49013","","T1400 - ALTERNATE BENEFIT PROGRAM               SERVICE PROVIDERS                                   ","Empower Retirement, LLC","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2012","12/31/2025"
"23-PROS1-43235","","T1318 - Audit of the State's Federal Programs and Awards","CliftonLarsonAllen LLP","RFP/SC-SBE","$586,500.00","Division of Purchase and Property ","3PS - Sent","07/01/2023","06/30/2026"
"23-PROS1-40955","","M4010 Business and IT Consulting and Advisory Services","The Boston Consulting Group Inc","NATCOOP/NJCOOP","$40,067,900.00","Division of Purchase and Property ","3PS - Sent","03/23/2023","12/31/2025"
"23-PROS1-22271","","G4021 - Data Collection & Analysis: NJ Health Care Cost Growth Benchmark Program (DOBI)","Mathematica","GSA","$2,498,916.07","Division of Purchase and Property ","3PS - Sent","08/10/2022","08/09/2025"
"23-GNSV2-49037","","T2946 - Elevator Maintenance, Repair, Testing, and Inspection Services","3Phase Excel Elevator LLC ","RFP/NJCOOP/SC-SBE","$3,159,937.91","Division of Purchase and Property ","3PS - Sent","03/01/2020","02/28/2026"
"23-GNSV2-33689","","T0200 - MAILROOM EQUIPMENT AND MAINTENANCE      VARIOUS STATE AGENCIES                              ","DMT Solutions Global Corporation","RFP/NJCOOP","$624,306.89","Division of Purchase and Property ","3PS - Sent","12/23/2022","04/14/2026"
"23-GNSV1-73348","","T2759 - Forestry Mowing/Mulching Service NJDEP","John de Rouville","RFP/NJCOOP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","04/15/2024","04/14/2027"
"23-GNSV1-73347","","T2759 - Forestry Mowing/Mulching Service NJDEP","Pagodins Tree Care Service LLC","RFP/NJCOOP/SC-SBE","$231,150.00","Division of Purchase and Property ","3PS - Sent","04/15/2024","04/14/2027"
"23-GNSV1-73346","","T2759 - Forestry Mowing/Mulching Service NJDEP","Rich Tree Service Inc.","RFP/NJCOOP/SC-SBE","$4,007.50","Division of Purchase and Property ","3PS - Sent","04/15/2024","04/14/2027"
"23-GNSV1-55505","","T0675 - Locksmith Services and Associated Parts","Firstline Locksmith, LLC","RFP/NJCOOP/SC-SBE","$237,793.08","Division of Purchase and Property ","3PS - Sent","01/15/2024","01/14/2027"
"23-GNSV1-55504","","T0675 - Locksmith Services and Associated Parts","Hogan Security Group LLC","RFP/NJCOOP/SC-SBE","$501,662.79","Division of Purchase and Property ","3PS - Sent","01/15/2024","01/14/2027"
"23-GNSV1-39184","","T1057- WIC Infant Formula Rebate: DOH ","Mead Johnson & Company LLC","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","03/01/2023","02/28/2026"
"23-GNSV1-35293","","M2001- Temporary Staffing Services","22nd Century Technologies Inc","NATCOOP/NJCOOP","$205,898,145.57","Division of Purchase and Property ","3PS - Sent","02/01/2023","08/14/2025"
"23-GNSV1-25916","","T0777 - Snow Plowing and Spreading Services - NJDOT","Paving Plus LLC","RFP","$0.00","Division of Purchase and Property ","3PS - Sent","09/20/2022","09/30/2025"
"23-FOOD-63645","","T1486 Feed: Fish Food, Trout Grower for NJDEP - Fish & Wildlife - Rebid","Zeigler Bros Inc","RFP","$283,521.56","Division of Purchase and Property ","3PS - Sent","04/01/2024","03/31/2027"
"23-FOOD-50947","","T2419 Electrical Equipment, Supplies, Light Poles, and Luminaries with Associated Lamps","PEMBERTON ELECTRICAL SUPPLY COMPANY L.L.C.","RFP/NJCOOP/SBE","$2,158,859.10","Division of Purchase and Property ","3PS - Sent","08/01/2023","07/31/2026"
"23-FOOD-47764","","G2005 Carpet and Floor Covering, Supplies and Installation- Statewide","Shaw Industries, Inc. ","GSA/NJCOOP","$4,391,815.32","Division of Purchase and Property ","3PS - Sent","07/01/2023","06/30/2026"
"23-FOOD-47763","","G2005 Carpet and Floor Covering, Supplies and Installation- Statewide","Interface Americas Inc. ","GSA/NJCOOP","$617,557.79","Division of Purchase and Property ","3PS - Sent","07/01/2023","06/30/2026"
"23-FLEET-68814","","T1786 Equipment Acquisition & Installation for Marked/Unmarked Police Vehicles and Prisoner Transpor","Emergency Accessories & Installations","RFP/PSBE/PDVOB/COOP","$308,175.32","Division of Purchase and Property ","3PS - Sent","03/02/2024","03/01/2027"
"23-FLEET-68813","","T1786 Equipment Acquisition & Installation for Marked/Unmarked Police Vehicles and Prisoner Transpor","East Coast Emergency Lighting Inc","RFP/PSBE/PDVOB/COOP","$161,194.80","Division of Purchase and Property ","3PS - Sent","03/02/2024","03/01/2027"
"23-FLEET-68466","","T3138 Electric Vehicle Service Equipment - Statewide","Lynkwell","RFP/PSBE/PDVOB/COOP","$0.00","Division of Purchase and Property ","3PS - Sent","03/18/2024","03/17/2027"
"23-FLEET-68465","","T3138 Electric Vehicle Service Equipment - Statewide","JF Acquisition LLC dba Jones & Frank","RFP/PSBE/PDVOB/COOP","$0.00","Division of Purchase and Property ","3PS - Sent","03/18/2024","03/17/2027"
"23-FLEET-68464","","T3138 Electric Vehicle Service Equipment - Statewide","Bryan Electric Inc.","RFP/PSBE/PDVOB/COOP","$0.00","Division of Purchase and Property ","3PS - Sent","03/18/2024","03/17/2027"
"23-FLEET-41909","","T2007 Sport Utility Vehicles,  Gasoline /Hybrid/ Electric","CIOCCA FMFL INC./DBA CIOCCA PARTS WAREHOUSE","RFP/NJCOOP","$5,211,744.95","Division of Purchase and Property ","3PS - Sent","02/19/2021","02/18/2026"
"23-FLEET-41906","","T2760 OEM Automotive Parts and Accessories for Light Duty Vehicles Class 4 or Lower","CIOCCA FMFL INC./DBA CIOCCA PARTS WAREHOUSE","RFP/NJCOOP","$1,947,564.30","Division of Purchase and Property ","3PS - Sent","08/05/2019","08/04/2025"
"23-FLEET-37974","","T0115 Scientific Equipment Accessories Supplies and Maintenance Statewide","Hologic Sales and Service, LLC","RFP","$1,664,652.93","Division of Purchase and Property ","3PS - Sent","02/13/2023","12/31/2025"
"23-FLEET-34934","","T2776S Police Pursuit and SSV: Sedans and Sport Utility Vehicles, with Gasoline Engine","NIELSEN OF MORRISTOWN INC","RFP/NJCOOP","$3,536,232.00","Division of Purchase and Property ","3PS - Sent","04/30/2021","04/29/2026"
"23-FLEET-34933","","T2776 Police Pursuit and Special Service Vehicles: Gasoline, Hybrid and Plug-In Hybrid Engines","NIELSEN OF MORRISTOWN INC","RFP","$2,449,953.55","Division of Purchase and Property ","3PS - Sent","06/18/2020","06/17/2026"
"23-FLEET-34932","","T2760 OEM Automotive Parts and Accessories for Light Duty Vehicles Class 4 or Lower","NIELSEN OF MORRISTOWN INC","RFP/NJCOOP","$957.38","Division of Purchase and Property ","3PS - Sent","08/05/2019","08/04/2025"
"23-FLEET-34928","","T0126 - OEM & NON-OEM MAINTENANCE & REPAIR      SERVICES FOR LIGHT/MEDIUM DUTY VEHICLES             ","NIELSEN OF MORRISTOWN INC","RFP/NJCOOP","$455,877.83","Division of Purchase and Property ","3PS - Sent","03/18/2016","12/17/2025"
"23-FLEET-34925","","T2760 OEM Automotive Parts and Accessories for Light Duty Vehicles Class 4 or Lower","NIELSEN FORD OF MORRISTOWN INC","RFP/NJCOOP","$3,664.84","Division of Purchase and Property ","3PS - Sent","08/05/2019","08/04/2025"
"23-FLEET-34924","","T2108 - MAINT. & REPAIR FOR HEAVY DUTY VEHICLES (CLASS 5 OR HIGHER, OVER 15,000 LB GVWR)            ","NIELSEN FORD OF MORRISTOWN INC","RFP/NJCOOP","$2,939.24","Division of Purchase and Property ","3PS - Sent","07/21/2015","11/20/2025"
"23-FLEET-34921","","T2007 Sport Utility Vehicles,  Gasoline /Hybrid/ Electric","NIELSEN FORD OF MORRISTOWN INC","RFP/NJCOOP","$127,900.50","Division of Purchase and Property ","3PS - Sent","02/19/2021","02/18/2026"
"23-FLEET-34919","","T0126 - OEM & NON-OEM MAINTENANCE & REPAIR      SERVICES FOR LIGHT/MEDIUM DUTY VEHICLES             ","NIELSEN FORD OF MORRISTOWN INC","RFP/NJCOOP","$2,051,402.18","Division of Purchase and Property ","3PS - Sent","03/18/2016","12/17/2025"
"23-FLEET-34887","","T0106 - Law Enforcement Firearms Equipment and Supplies","Nielsen Fleet Inc.","RFP/NJCOOP","$435,328.31","Division of Purchase and Property ","3PS - Sent","05/15/2019","05/14/2026"
"23-FLEET-33791","","T0106 - Law Enforcement Firearms Equipment and Supplies","Motorola Solutions","RFP","$1,923,396.52","Division of Purchase and Property ","3PS - Sent","05/15/2019","05/14/2026"
"23-FLEET-22885","","M8001 Walk-In Building Supplies","Lowes Home Centers LLC ","NATCOOP/NJCOOP","$504,766.73","Division of Purchase and Property ","3PS - Sent","08/01/2022","07/31/2027"
"23-CPRO-46708","","State Trauma Medical Director Consultant for the New Jersey Department of Health","The Cooper Health System","","$40,912.17","New Jersey Department of Health","3PS - Sent","05/24/2023","05/23/2026"
"22-WAIVE-17179","","90-22-DOH","CertiSurv, LLC","","$12,031,826.12","Division of Purchase and Property ","3PS - Sent","06/13/2022","06/30/2026"
"22-WAIVE-09243","","73-22-DPMC","Vicinity Energy Trenton LP","","$0.00","Division of Purchase and Property ","3PS - Sent","03/23/2022","03/22/2042"
"22-WAIVE-07578","","61-22-Agriculture","EMS LINQ, LLC","","$833,750.00","Division of Purchase and Property ","3PS - Sent","03/07/2022","03/06/2027"
"22-WAIVE-06136","","60-22-DPMC","Qualus Services, LLC","","$86,050.00","Division of Purchase and Property ","3PS - Sent","02/16/2022","02/15/2027"
"22-TELE-80913","","T1776 Data Communications Network Services","Crown Castle Fiber LLC ","RFP/SC-SBE","$1,237,099.77","Division of Purchase and Property ","3PS - Sent","08/01/2024","07/31/2029"
"22-TELE-80912","","T1776 Data Communications Network Services","Data Network Solutions","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","08/01/2024","07/31/2029"
"22-TELE-80911","","T1776 Data Communications Network Services","AT&T","RFP/SC-SBE","$3,327,559.39","Division of Purchase and Property ","3PS - Sent","08/01/2024","07/31/2029"
"22-TELE-80910","","T1776 Data Communications Network Services","Verizon Business Network Services LLC","RFP/SC-SBE","$12,784,422.30","Division of Purchase and Property ","3PS - Sent","08/01/2024","07/31/2029"
"22-TELE-80909","","T1776 Data Communications Network Services","Carousel Industries of North America Inc.","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","08/01/2024","07/31/2029"
"22-TELE-56769","","T1414 - Hospital Based Paternity Acknowledgement Program and Database","Maximus US Services, Inc","RFP/SC-SBE","$436,274.03","Division of Purchase and Property ","3PS - Sent","10/01/2023","09/30/2026"
"22-TELE-40642","","T1778 - Communications/ Telecommunications Cable, Wire, and Associated Products","Johnston G P Inc.","RFP/NJCOOP/SC-SBE","$103,709.71","Division of Purchase and Property ","3PS - Sent","10/10/2023","10/09/2026"
"22-TELE-40641","","T1778 - Communications/ Telecommunications Cable, Wire, and Associated Products","Gold Type Business Machines Inc","RFP/NJCOOP/SC-SBE","$2,072.05","Division of Purchase and Property ","3PS - Sent","10/10/2023","10/09/2026"
"22-TELE-19922","","T3128 eProcurement System and Services for DPMC","Info Tech, Inc.","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/19/2022","07/18/2027"
"22-TELE-15251","","G4022 To provide development and human-centered design services for the UI Modernization Program","NAVA PBC","GSA","$60,726,787.37","Division of Purchase and Property ","3PS - Sent","05/20/2022","05/19/2026"
"22-TELE-15248","","G4022- To provide development and human-centered design services for the Work Experience Program","Fearless Solutions LLC","GSA","$3,771,604.28","Division of Purchase and Property ","3PS - Sent","05/20/2022","05/19/2026"
"22-TELE-09046","","M4007 IT Research and Advisory Services","Gartner Inc.","NATCOOP","$7,283,421.18","Division of Purchase and Property ","3PS - Sent","05/29/2022","01/18/2026"
"22-TELE-07908","","M7000 Data Communications Product and Services","Juniper Networks US Inc.","RFP/NJCOOP","$93,401.35","Division of Purchase and Property ","3PS - Sent","03/29/2022","09/30/2026"
"22-TELE-05861","","M4006 Wireless voice, Data, and Accessories","AT&T MOBILITY","NATCOOP/NJCOOP","$20,709,844.30","Division of Purchase and Property ","3PS - Sent","03/01/2022","08/11/2029"
"22-TELE-05441","","M4006 Wireless voice, Data, and Accessories","Verizon Wireless","NATCOOP/NJCOOP","$52,406,990.12","Division of Purchase and Property ","3PS - Sent","03/01/2022","08/11/2029"
"22-TELE-04580","","M4006 Wireless Devices and Services","T-Mobile","NATCOOP/NJCOOP","$63,360.99","Division of Purchase and Property ","3PS - Sent","03/01/2022","08/11/2029"
"22-TELE-02631","","T2882- Office of Information Technology Cost Allocation Model for IT Services","Maximus US Services, Inc","RFP/NJCOOP/SC-SBE","$314,248.00","Division of Purchase and Property ","3PS - Sent","11/12/2021","11/11/2025"
"22-TELE-02029","","M4002 - NASPO ValuePoint Cloud Solutions","Kyndryl , Inc.","NATCOOP","$25,374,365.59","Division of Purchase and Property ","3PS - Sent","11/12/2021","09/15/2026"
"22-PROS1-77753","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","NTT Data State Health Consulting","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77752","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","International Consulting Acquisition Corp","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77751","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","Infojini Inc.","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77750","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","OptumInsight, Inc.","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77749","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","BerryDunn","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77748","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","Tech Valley Talent LLC","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77747","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","Gartner Inc.","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77746","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","Trigyn Technologies, Inc.","RFP/SC-SBE","$786,840.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77745","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","Deloitte Consulting","","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77744","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","Maximus US Services, Inc","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77743","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","Solix Inc","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77742","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","Public Consulting Group LLC","RFP/SC-SBE","$696,123.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77741","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","CGI Technologies and Solutions","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77740","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","Mathtech","RFP/SC-SBE","$89,120.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77739","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","Computer Aid Inc","RFP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-77738","","T2599 Quality Assurance/Project Management Services for IT and Non-IT Projects","The North Highland Company LLC","RFP/SC-SBE","$10,807,352.00","Division of Purchase and Property ","3PS - Sent","07/01/2024","06/30/2029"
"22-PROS1-33688","","T2609-Medical Examinations, Testing and Services ","Princeton HealthCare System","RFP/NJCOOP/SC-SBE","$1,013,940.14","Division of Purchase and Property ","3PS - Sent","04/01/2023","03/31/2026"
"22-PROS1-33121","","T1999 - Cardiac Surgery Medical Records Review, DOH","Health Management Systems Inc., THIRD PARTY LIABILITY RECOVERY SERVICES","RFP/SC-SBE","$1,092,399.18","Division of Purchase and Property ","3PS - Sent","01/01/2023","12/31/2027"
"22-PROS1-29422","","T2800 - Provider Cost Reports","Myers and Stauffer LC","RFP","$4,055,227.84","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2027"
"22-PROS1-23992","","T3115 - PIP Medical Fee Schedules: DOBI ","FAIR Health, Inc.","RFP","$48,000.00","Division of Purchase and Property ","3PS - Sent","09/01/2022","08/31/2028"
"22-PROS1-20996","","T2984 - Unclaimed Property Recovery Services","EECS LLC","RFP/SC-SBE","$450,000.00","Division of Purchase and Property ","3PS - Sent","09/01/2022","08/31/2025"
"22-PROS1-20995","","T2984 - Unclaimed Property Recovery Services","Innovative Advocate Group, Inc.","RFP/SC-SBE","$450,000.00","Division of Purchase and Property ","3PS - Sent","09/01/2022","08/31/2025"
"22-PROS1-20994","","T2984 - Unclaimed Property Recovery Services","Audit Services US LLC","RFP/SC-SBE","$2,000,000.00","Division of Purchase and Property ","3PS - Sent","09/01/2022","08/31/2025"
"22-PROS1-20993","","T2984 - Unclaimed Property Recovery Services","Kelmar Associates LLC","RFP/SC-SBE","$3,700,000.00","Division of Purchase and Property ","3PS - Sent","09/01/2022","08/31/2025"
"22-PROS1-20992","","T2984 - Unclaimed Property Recovery Services","Kroll Government Solutions,LLC","RFP/SC-SBE","$4,000,000.00","Division of Purchase and Property ","3PS - Sent","09/01/2022","08/31/2025"
"22-PROS1-13896","","M4010 Business and IT Consulting and Advisory Services - PMO Services DHS","BerryDunn","NATCOOP","$9,146,470.00","Division of Purchase and Property ","3PS - Sent","05/11/2022","12/31/2025"
"22-PROS1-06559","","T0894 Auditing Services, Acute Care Hospital Common Audit Program","Myers and Stauffer LC","RFP/SC-SBE","$2,836,023.00","Division of Purchase and Property ","3PS - Sent","05/16/2022","05/15/2026"
"22-GNSV2-28438","","T2957 - Appraisal Services for NJ Department of Environmental Protection","BBG Valuation, Inc.","RFP/NJCOOP/SC-SBE","$39,500.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28437","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Robert M. Sapio Real Estate Appraisal","RFP/NJCOOP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28436","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Newmark Valuation & Advisory, LLC","RFP/NJCOOP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28435","","T2957 - Appraisal Services for NJ Department of Environmental Protection","BRB Valuation & Consulting Services, LLC","RFP/NJCOOP/SC-SBE","$12,000.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28434","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Otteau Group Inc","RFP/NJCOOP/SC-SBE","$158,730.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28433","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Lee Ann Kampf & Associates","RFP/NJCOOP/SC-SBE","$58,800.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28432","","T2957 - Appraisal Services for NJ Department of Environmental Protection","David Glaser LLC dba Park Way Consulting","RFP/NJCOOP/SC-SBE","$216,580.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28431","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Webb Appraisal, LLC","RFP/NJCOOP/SC-SBE","$51,615.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28429","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Wade Appraisal LLC","RFP/NJCOOP/SC-SBE","$116,950.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28428","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Joshua D. Mackoff","RFP/NJCOOP/SC-SBE","$4,975.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28427","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Robert G Cooper","RFP/NJCOOP/SC-SBE","$242,260.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28426","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Holzhauer & Holenstein LLC","RFP/NJCOOP/SC-SBE","$324,100.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28425","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Integra Realty Resources Coastal NJ","RFP/NJCOOP/SC-SBE","$82,100.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28423","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Bettina Sholk Real Estate Appraisal","RFP/NJCOOP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28422","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Norman J. Goldberg Inc.","RFP/NJCOOP/SC-SBE","$117,370.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28421","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Henry J. Mancini & Associates Inc.","RFP/NJCOOP/SC-SBE","$11,880.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28418","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Martin Appraisal Associates Inc.","RFP/NJCOOP/SC-SBE","$85,990.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-28417","","T2957 - Appraisal Services for NJ Department of Environmental Protection","Sterling DiSanto & Associates LLC","RFP/NJCOOP/SC-SBE","$0.00","Division of Purchase and Property ","3PS - Sent","12/01/2022","11/30/2025"
"22-GNSV2-25461","","T0877 - Moving Services for DPMC and Cooperative Purchasing Participants","elate moving llc","RFP/NJCOOP/SC-SBE","$80,351.00","Division of Purchase and Property ","3PS - Sent","11/01/2022","10/31/2025"
"22-GNSV2-25460","","T0877 - Moving Services for DPMC and Cooperative Purchasing Participants","Flatbush Moving Van Company","RFP/NJCOOP/SC-SBE","$3,630.00","Division of Purchase and Property ","3PS - Sent","11/01/2022","10/31/2025"
"22-GNSV2-25459","","T0877 - Moving Services for DPMC and Cooperative Purchasing Participants","steedle moving & storage inc","RFP/NJCOOP/SC-SBE","$15,411.00","Division of Purchase and Property ","3PS - Sent","11/01/2022","10/31/2025"
"22-GNSV2-25458","","T0877 - Moving Services for DPMC and Cooperative Purchasing Participants","Anchor Moving & Storage","RFP/NJCOOP/SC-SBE","$111,594.27","Division of Purchase and Property ","3PS - Sent","11/01/2022","10/31/2025"
"22-GNSV2-25457","","T0877 - Moving Services for DPMC and Cooperative Purchasing Participants","Broadway Moving & Storage Inc.","RFP/NJCOOP/SC-SBE","$369,481.42","Division of Purchase and Property ","3PS - Sent","11/01/2022","10/31/2025"
"22-GNSV2-25456","","T0877 - Moving Services for DPMC and Cooperative Purchasing Participants","Simonik Transportation & Warehousing Group LLC","RFP/NJCOOP/SC-SBE","$20,848.00","Division of Purchase and Property ","3PS - Sent","11/01/2022","10/31/2025"
"22-GNSV2-25455","","T0877 - Moving Services for DPMC and Cooperative Purchasing Participants","Business Relocation Services","RFP/NJCOOP/SC-SBE","$7,901.04","Division of Purchase and Property ","3PS - Sent","11/01/2022","10/31/2025"
